operatingGrossMargin, operatingProfitRate,preTaxNetInterestRate,afterTaxNetInterestRate,cashFlowpershare,,perShareNetProfitBeforeTax,regularNetProfitGrowthRate,quickRatio
0.601457213,0.998969203,0.796887146,0.808809361,0.311664427,,0.13873616,0.688979463,0.001207755
0.610235086,0.998945978,0.797380191,0.809300726,0.318136804,,0.169917903,0.689701702,0.004039367
0.601450006,0.998857353,0.796403369,0.808387521,0.307101931,,0.142803344,0.68946966,0.00534756
0.583541129,0.998699747,0.796966968,0.808965598,0.321673622,,0.148602847,0.689109536,0.002896491
0.598783494,0.998973132,0.797366081,0.80930372,0.319162481,,0.168411539,0.689696883,0.003727447
0.590171378,0.998758098,0.796903193,0.808770562,0.325387282,,0.138811478,0.689177544,0.000854661
0.619949841,0.998993121,0.797011929,0.80896039,0.316686709,,0.128944792,0.68858985,0.002869042
0.601738278,0.999008951,0.797448808,0.809361528,0.324114027,,0.180462454,0.689535186,0.007304548
0.603612044,0.998960768,0.797413531,0.809338092,0.318773431,,0.173156587,0.689924337,0.011823024
0.599208694,0.999000632,0.797403571,0.809320385,0.330161986,,0.176621225,0.689338461,0.007516653
0.614025858,0.998978447,0.797534994,0.809459697,0.319162481,,0.178579498,0.689359727,0.003449214
0.623711786,0.998975327,0.79744286,0.80938913,0.319869845,,0.172478723,0.689351994,0.005122978
0.608130702,0.999044887,0.797428887,0.809344342,0.321213836,,0.17428636,0.689935937,0.004029385
0.600577985,0.998967008,0.797368294,0.809299293,0.32231025,,0.168863448,0.689652794,0.006446767
0.604685856,0.999052975,0.797513967,0.809456311,0.32386645,,0.178880771,0.689922346,0.012023277
0.621773159,0.999096883,0.797506773,0.809395509,0.325564123,,0.182420728,0.689318495,0.007063121
0.606523588,0.998996472,0.797877249,0.809761103,0.317924595,,0.176169315,0.689933282,0.004346296
0.618450828,0.999118837,0.797588255,0.809460738,0.323159086,,0.189274686,0.689548286,0.007383152
0.598343879,0.998988615,0.79741201,0.809334056,0.327191059,,0.176018679,0.68942032,0.004172245
0.63625881,0.999041651,0.797443551,0.809340436,0.319905213,,0.174512315,0.689233838,0.008200383
